CustomerID,TotalRevenue,TotalOrders,TotalItems,FirstPurchase,LastPurchase,Country,CLV,AOV,PurchaseFrequency,DaysSinceLastPurchase,CustomerTenure,Is_VIP,Fraud_Risk,OutlierLabel,Cluster,Segment,PCA1,PCA2,Churn,ChurnProbability
12347,513.8100000000001,7,315,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,513.81,73.4,7,1,366,False,False,Normal,2,Potential Loyalists,1.054258161769393,0.1387401517457612,0,0.0064
12348,397.59999999999997,3,289,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,397.6,132.53,3,74,357,False,False,Normal,2,Potential Loyalists,0.6086816761818009,0.6385396805916563,0,0.6231
12349,231.95,1,67,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,231.95,231.95,1,18,18,False,False,Normal,0,At-Risk Customers,-0.13238075816140882,-1.7107356212708122,0,0.0062
12350,65.4,1,48,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,65.4,65.4,1,309,309,False,False,Normal,1,Lost/Inactive,-0.5265876077050698,2.1353990059227135,1,0.9998
12352,289.5,6,71,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,289.5,48.25,6,35,296,False,False,Normal,2,Potential Loyalists,0.5167268976443988,0.011821131806770212,0,0.0238
12353,39.8,1,4,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,39.8,39.8,1,203,203,False,False,Normal,1,Lost/Inactive,-0.6879905708390744,0.7589524835709275,1,0.9998
12354,191.75,1,53,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,191.75,191.75,1,231,231,False,False,Normal,1,Lost/Inactive,-0.13204834575449412,1.0812230747162739,1,0.9994
12356,127.9,2,118,2011-01-18 09:50:00,2011-04-08 12:33:00,Portugal,127.9,63.95,2,245,325,False,False,Normal,1,Lost/Inactive,-0.2389010219187826,1.7478318171218574,1,0.7692
12357,802.28,1,404,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,802.28,802.28,1,32,32,True,False,VIP,0,At-Risk Customers,1.8933696543591654,-1.6902890825141255,0,0.0004
12358,251.98000000000002,2,50,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,251.98,125.99,2,1,150,False,False,Normal,0,At-Risk Customers,0.024226338538153674,-1.0644343465774393,0,0.1267
12359,639.16,4,267,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,639.16,159.79,4,57,331,False,False,Normal,2,Potential Loyalists,0.8915671925221103,0.34155508499481824,0,0.0192
12360,350.05,3,193,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,350.05,116.68,3,51,200,False,False,Normal,0,At-Risk Customers,0.1851087523391523,-0.4199553164105805,0,0.0025
12361,17.700000000000003,1,6,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,17.7,17.7,1,286,286,False,False,Normal,1,Lost/Inactive,-0.7106125620251079,1.8487302301495887,1,0.9977
12362,686.55,9,239,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,686.55,76.28,9,2,295,False,False,Normal,2,Potential Loyalists,1.1809733855741358,-0.27928671386202836,0,0.0065
12363,116.46000000000001,2,42,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,116.46,58.23,2,109,241,False,False,Normal,2,Potential Loyalists,-0.22353661026312102,0.270962371923464,1,0.6208
12364,201.18,3,207,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,201.18,67.06,3,7,111,False,False,Normal,0,At-Risk Customers,-0.18771462800880975,-1.2321373326832932,0,0.0004
12365,32.7,1,18,2011-02-21 13:51:00,2011-02-21 13:51:00,Cyprus,32.7,32.7,1,290,290,False,False,Normal,1,Lost/Inactive,-0.6549051740295792,1.8966776754406875,1,0.9997
12367,46.5,1,93,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,46.5,46.5,1,3,3,False,False,Normal,0,At-Risk Customers,-0.7980667171972845,-1.853769443236159,0,0.0002
12370,442.01,4,239,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,442.01,110.5,4,50,359,False,False,Normal,2,Potential Loyalists,0.7170117032912667,0.47088241021317095,0,0.5335
12371,288.6,1,120,2011-10-11 10:43:00,2011-10-11 10:43:00,Switzerland,288.6,288.6,1,59,59,False,False,Normal,0,At-Risk Customers,0.09532543343276388,-1.191640565521675,0,0.0007
12372,92.7,3,34,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,92.7,30.9,3,71,296,False,False,Normal,2,Potential Loyalists,-0.01139155434850882,0.30719314338866227,0,0.1472
12373,52.5,1,30,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,52.5,52.5,1,310,310,False,False,Normal,1,Lost/Inactive,-0.5715264045140553,2.1521242997504415,1,0.9994
12374,29.400000000000002,1,14,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,29.4,29.4,1,24,24,False,False,Normal,0,At-Risk Customers,-0.8444781229525373,-1.5747673521185641,0,0.001
12375,17.0,1,20,2011-09-02 14:23:00,2011-09-02 14:23:00,Finland,17.0,17.0,1,97,97,False,False,Normal,0,At-Risk Customers,-0.83949420648587,-0.6182908922952053,1,0.9957
12377,227.22,2,142,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,227.22,113.61,2,314,354,False,False,Normal,1,Lost/Inactive,-0.08913479322095826,2.4039193608478677,1,0.7263
12378,584.85,1,352,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,584.85,584.85,1,129,129,False,False,Normal,0,At-Risk Customers,1.1895269743164107,-0.36216520368072774,1,0.9899
12379,29.799999999999997,2,20,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,29.8,14.9,2,81,169,False,False,Normal,0,At-Risk Customers,-0.5295557691159342,-0.3311089337674604,0,0.0312
12380,579.04,4,248,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,579.04,144.76,4,21,185,False,False,Normal,0,At-Risk Customers,0.514574414587177,-0.7493524459293746,0,0.3116
12381,161.1,2,36,2011-08-12 09:57:00,2011-11-06 13:36:00,Norway,161.1,80.55,2,32,119,False,False,Normal,0,At-Risk Customers,-0.295891362920609,-0.9982777519104437,0,0.0119
12383,164.16,5,170,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,164.16,32.83,5,184,351,False,False,Normal,1,Lost/Inactive,0.16552432557772562,1.4361294925885768,1,0.5744
12384,80.98,2,28,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,80.98,40.49,2,28,121,False,False,Normal,0,At-Risk Customers,-0.44769857628085535,-1.00296083378358,0,0.2155
12386,95.0,2,84,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,95.0,47.5,2,337,366,False,False,Normal,1,Lost/Inactive,-0.3720164387496215,2.663392578686005,1,0.778
12388,227.46,5,94,2011-01-17 11:12:00,2011-09-25 11:30:00,Australia,227.46,45.49,5,75,326,False,False,Normal,2,Potential Loyalists,0.3753949177948288,0.48631365724998915,0,0.0484
12390,83.35,1,41,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,83.35,83.35,1,79,79,False,False,Normal,0,At-Risk Customers,-0.6169542438361342,-0.8721468399963213,0,0.0014
12391,48.71,1,33,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,48.71,48.71,1,21,21,False,False,Normal,0,At-Risk Customers,-0.7782145753745031,-1.6194250230148985,0,0.0004
12393,244.70000000000002,4,140,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia,244.7,61.18,4,71,332,False,False,Normal,2,Potential Loyalists,0.3538944238445331,0.49234473338821516,0,0.149
12394,72.91999999999999,1,44,2011-05-06 14:01:00,2011-05-06 14:01:00,Belgium,72.92,72.92,1,216,216,False,False,Normal,1,Lost/Inactive,-0.5622010200768476,0.9192298309202974,1,0.9993
12395,376.77,10,157,2010-12-17 16:00:00,2011-11-20 15:21:00,Belgium,376.77,37.68,10,18,356,False,False,Normal,2,Potential Loyalists,1.1154878740261363,0.20440999205501145,0,0.001
12397,322.6,2,242,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium,322.6,161.3,2,35,134,False,False,Normal,0,At-Risk Customers,0.06684688290485513,-0.9175063437656884,0,0.1381
